Country Name,Country Code,Series Name,Series Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Brunei Darussalam,BRN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-6.99670298402471,-19.8267158647435,3.95665493838268,0.501465965857875,0.59987654172437,-1.49074908033609,-2.71546995324415,2.00912981362838,1.09736716573583,-1.07417857262092,1.08942053548758,3.14594136166266,4.75858084552159,0.304572874141869,3.14539739535876,4.47870733983748,2.87831774721235,-1.47117157218257,-0.558508851097471,3.05215714160208,2.84942185782727,2.74404051765202,3.87209696704298,2.90395547653115,0.504318252687327,0.38750720823208,4.39771967752176,0.154581811742773,-1.93971463784671,-1.76453554132601,2.59896574643226,3.74531835205994,0.912841670964411,-2.12602851740175,-2.50835256644561,-0.392383749502031,-2.47791771833224,1.32860255161715,0.0522377907767719,3.86910986506845,1.1335733495246,-1.60554514769878
Myanmar,MMR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.6045987238534,7.11693311399426,5.96823658885164,4.98095692113874,4.6677285403636,3.86681055209451,0.869360498316368,-2.52365544204221,-7.60396049916862,-4.281342645379,3.24814801447286,1.05907770479723,4.48833584600598,7.7667382558005,6.7797675954762,7.20345539648366,6.68690034247324,6.03480422772047,5.76184722120743,8.47803411859398,12.4181916439086,12.4677300367596,11.703045621276,12.9863248927921,13.6952873426046,13.5669420088724,13.30686930826,12.5004862939068,11.0742676521013,10.4098444030112,10.0692860939855,7.52005722724248,6.4857540044064,7.89866947823812,8.19966375042618,3.27727941700189,10.5077807807102,5.75006450029507,6.404977325147,6.7504601462238,3.17377440041078,-17.9847423373262
Cambodia,KHM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-34.8086387724145,9.90346890109399,5.89750560977438,4.00662107311534,4.68163210805818,12.7053811343541,9.9935803216182,8.14838609848549,6.57893950279683,8.50589555707634,10.340528776847,13.2500869136436,10.7710836701771,10.2125739126309,6.69157747471078,0.0866969592706113,5.96307857538696,7.0695699458918,7.31334550530008,7.35666514887971,7.14257110074297,6.96579781444953,6.9333139730861,6.99690369934196,7.469169206999,7.05410693233065,-3.0960067306119,3.02638936277746
Timor-Leste,TLS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.3476921502823,-6.70068951593717,-2.18227228465521,0.400002623857972,2.98765053828242,-4.1194054207953,10.2624198386592,11.3905422476413,10.1443055027166,9.32942855959875,5.95604732776135,4.85336450127507,3.06826452932079,4.51203965442753,2.76107911021018,3.38530654893876,-3.07109976075395,-0.687542477354754,19.5358102438791,10.37185523562,4.39999845848935
Indonesia,IDN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,10,7.87878787878789,2.24719101123596,4.39560439560441,6.84210526315789,2.46305418719213,5.76923076923077,5,5.62770562770562,7.78688524590163,7.22433460076046,6.77581744104965,6.49750651682714,6.49640812045304,7.53997109551439,8.22000739903493,7.81818707670867,4.69987885390397,-13.1267254923818,0.79112608199847,4.9200677470169,3.64346644721492,4.49947539085764,4.78036912167654,5.03087394501685,5.69257130383384,5.50095178520348,6.34502222667214,6.01370360009123,4.62887118256153,6.22385418062366,6.16978420771008,6.03005065305615,5.5572636889101,5.006668425755,4.87632230022123,5.03306918280177,5.06978590134916,5.17429153955024,5.01928768046282,-2.06500494092904,3.69124011191289
Lao PDR,LAO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,5.06996394724837,4.88513326275412,-1.42579238293395,-2.01020105305003,14.1906366290998,6.70457869081514,4.2965636395472,5.55985776776151,5.91255655631491,8.15901853049645,7.03125432762097,6.92832372518181,6.87209127312506,3.96760809130524,7.30637607304419,5.79878232615873,5.75141288219024,5.91874368177427,6.06700230375843,6.35769548012803,7.10756836906148,8.61926620873047,7.59682880050465,7.82490276260827,7.50177491260473,8.52690551722873,8.03865268080929,8.02609843404085,8.02630022637751,7.61196344074379,7.27006584339864,7.02283625501138,6.8925308726989,6.24796000755872,5.4577350924848,0.503031829677198,2.52835100103448
Malaysia,MYS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.44182677934407,6.94210420118173,5.94315245801018,6.25223081092673,7.76179012218883,-1.02525025342071,1.24059492750688,5.19193211272702,9.93771967651989,9.0596008665043,9.00852713774628,9.54546741443052,8.88511797832156,9.89494333377064,9.21204179334867,9.82908519730812,10.0027006861844,7.32274185035924,-7.35941518817556,6.13761201057692,8.85886816969386,0.517675319192861,5.39098830692797,5.7884992858875,6.78343772370305,5.33213916141486,5.5848470671515,6.29878592740947,4.83176988913097,-1.51352871598714,7.42484738326097,5.29391283414003,5.47345419253853,4.69372252557893,6.00672194558203,5.09153242155011,4.44978139761541,5.81272240983328,4.84308697634881,4.43943825144628,-5.64693993202584,3.13258966090125
Philippines,PHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.20071107911187,3.42220873753665,3.69840609851109,1.89695178959097,-7.0393782012259,-6.85837720864683,3.51068403005506,4.36180967277697,6.69693110468185,6.18391820283388,3.08267252855887,-0.436390080533428,0.417629066097945,2.181889985613,4.37366591819077,4.62522511739661,5.8603478716379,5.18641167406165,-0.514090599541888,3.34645118398267,4.38250483347254,3.04923150985866,3.71625500158383,5.08691113513073,6.56922851180626,4.94250511877678,5.31641682136939,6.51929155018938,4.34448730509183,1.44832306275669,7.33449996034538,3.85823282795663,6.89695171050985,6.75053130142255,6.34798748260867,6.34830971672761,7.14945675000752,6.9309883258402,6.34148557153473,6.11852566221303,-9.51829474059072,5.70315596840621
Singapore,SGP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,10.1133721068475,10.8159232986752,7.10214484891354,8.55448210614414,8.79228623912256,-0.622701650113157,1.34281041445436,10.7979324702819,11.26359213382,10.1588286387889,9.82089955731777,6.68839753958379,6.63980556949564,11.459650875246,11.0956893100227,7.17540112091071,7.47139086002002,8.31620911124497,-2.19101500611274,5.71837175710837,9.03831632555163,-1.07086275100448,3.92336076702013,4.54825542643229,9.93998268434957,7.36632239250758,9.00676607871758,9.02151951268893,1.86348345462035,0.127953382778088,14.5197497108994,6.21493416858989,4.43549759378537,4.81763099120676,3.93554027709007,2.97679931634806,3.56169799036049,4.6614350486482,3.66130499436235,1.09567256732588,-4.14310562126106,7.61396261502647
Thailand,THA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.17354100571934,5.90686776303639,5.35234875066743,5.58420246919084,5.75243025148993,4.64724035659331,5.53382776724771,9.5189460221079,13.2881140717644,12.1905059866109,11.1671634446293,8.5582603212423,8.08338802345332,8.25191591524627,7.99702466720433,8.12031534625378,5.65194446499471,-2.75357515314082,-7.63403528600102,4.57230775115542,4.45524704335014,3.44424900968372,6.14903605210036,7.18924330340971,6.28934214285795,4.18763842884337,4.96781089246107,5.43515169050809,1.72569884866334,-0.690618232300579,7.51339053261624,0.840132083053334,7.24279620249642,2.68749556320556,0.984468863619426,3.13404724911635,3.43515771692182,4.1776810321001,4.22287028746071,2.15165612180819,-6.19548915958073,1.5662953378874
